customerid,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,segment
18011,374,1,102.79,1,2,1,121,Hibernating
15350,374,1,115.65,1,2,1,121,Hibernating
18074,374,1,489.60,1,1,2,112,Hibernating
13065,374,1,205.86,1,1,1,111,Hibernating
17908,374,1,243.28,1,1,1,111,Hibernating
15165,374,1,487.75,1,1,2,112,Hibernating
16583,374,1,233.45,1,1,1,111,Hibernating
14237,374,1,161.00,1,1,1,111,Hibernating
15922,374,1,369.50,1,2,2,122,Hibernating
12791,374,1,192.60,1,1,1,111,Hibernating
17643,374,1,101.55,1,2,1,121,Hibernating
14142,374,1,311.81,1,2,2,122,Hibernating
14729,374,1,313.49,1,2,2,122,Hibernating
13747,374,1,79.60,1,1,1,111,Hibernating
16274,374,1,357.95,1,2,2,122,Hibernating
17968,374,1,277.35,1,2,2,122,Hibernating
16048,374,2,256.44,1,2,2,122,Hibernating
16510,373,1,248.10,1,1,1,111,Hibernating
15823,373,1,15.00,1,2,1,121,Hibernating
12738,373,1,155.35,1,1,1,111,Hibernating
17850,373,34,5391.21,1,5,5,155,At Risk
13011,373,1,50.55,1,1,1,111,Hibernating
16752,373,1,207.50,1,1,1,111,Hibernating
14576,373,1,35.40,1,2,1,121,Hibernating
17855,373,1,208.97,1,1,1,111,Hibernating
15923,373,1,127.08,1,1,1,111,Hibernating
15363,373,1,326.00,1,2,2,122,Hibernating
16754,373,1,2002.40,1,1,4,114,Hibernating
17732,373,1,303.97,1,2,2,122,Hibernating
12855,373,1,38.10,1,1,1,111,Hibernating
17925,373,1,244.08,1,1,1,111,Hibernating
16781,373,1,311.25,1,2,2,122,Hibernating
13108,373,1,350.06,1,2,2,122,Hibernating
17976,373,1,353.19,1,2,2,122,Hibernating
15070,373,1,106.20,1,2,1,121,Hibernating
14589,372,1,39.75,1,1,1,111,Hibernating
16926,372,1,230.25,1,1,1,111,Hibernating
13370,372,1,754.87,1,1,3,113,Hibernating
12686,372,1,89.14,1,2,1,121,Hibernating
12725,372,1,427.80,1,1,2,112,Hibernating
17967,372,1,123.07,1,2,1,121,Hibernating
14813,370,2,155.43,1,2,1,121,Hibernating
15880,370,1,343.28,1,2,2,122,Hibernating
16718,370,1,623.75,1,1,3,113,Hibernating
16658,369,1,123.24,1,2,1,121,Hibernating
17860,369,1,252.80,1,2,2,122,Hibernating
15899,369,1,56.25,1,1,1,111,Hibernating
18113,369,1,76.32,1,1,1,111,Hibernating
16858,369,1,375.69,1,2,2,122,Hibernating
18119,368,1,181.12,1,1,1,111,Hibernating
13807,368,1,112.60,1,2,1,121,Hibernating
13786,368,1,230.40,1,1,1,111,Hibernating
16125,368,1,289.35,1,2,2,122,Hibernating
15180,368,1,87.50,1,2,1,121,Hibernating
15973,367,1,307.82,1,2,2,122,Hibernating
18269,367,1,168.60,1,1,1,111,Hibernating
16679,367,1,129.75,1,1,1,111,Hibernating
13270,367,1,590.00,1,1,3,113,Hibernating
15347,367,1,201.60,1,1,1,111,Hibernating
12441,367,1,173.55,1,1,1,111,Hibernating
15221,367,1,403.25,1,2,2,122,Hibernating
15332,367,4,1661.06,1,4,4,144,At Risk
14821,367,1,48.80,1,1,1,111,Hibernating
16893,367,1,145.93,1,1,1,111,Hibernating
12797,366,1,254.03,1,2,2,122,Hibernating
14355,366,1,174.40,1,1,1,111,Hibernating
16795,366,1,414.88,1,1,2,112,Hibernating
15945,366,1,181.00,1,1,1,111,Hibernating
13369,366,1,308.28,1,2,2,122,Hibernating
17456,366,1,249.86,1,1,1,111,Hibernating
14437,366,1,63.00,1,1,1,111,Hibernating
14932,366,1,363.53,1,2,2,122,Hibernating
16065,366,1,372.09,1,2,2,122,Hibernating
17978,366,1,300.92,1,2,2,122,Hibernating
17880,365,1,458.92,1,1,2,112,Hibernating
15723,365,1,203.10,1,1,1,111,Hibernating
14082,365,1,182.25,1,1,1,111,Hibernating
12785,365,1,311.95,1,2,2,122,Hibernating
16565,365,1,173.70,1,1,1,111,Hibernating
16727,365,1,272.82,1,2,2,122,Hibernating
18004,363,1,169.47,1,1,1,111,Hibernating
15503,363,1,147.09,1,1,1,111,Hibernating
15454,363,1,179.10,1,1,1,111,Hibernating
14413,363,1,122.70,1,2,1,121,Hibernating
17251,363,1,283.28,1,2,2,122,Hibernating
16665,363,1,135.40,1,1,1,111,Hibernating
17303,362,1,250.04,1,1,1,111,Hibernating
15361,362,1,418.92,1,1,2,112,Hibernating
17524,362,1,145.00,1,1,1,111,Hibernating
13948,361,1,102.00,1,2,1,121,Hibernating
16812,361,1,479.35,1,1,2,112,Hibernating
16202,361,1,365.27,1,2,2,122,Hibernating
16499,361,2,365.45,1,3,2,132,At Risk
18050,360,1,74.40,1,1,1,111,Hibernating
13295,360,1,201.20,1,1,1,111,Hibernating
17525,360,1,422.70,1,1,2,112,Hibernating
17551,360,1,306.84,1,2,2,122,Hibernating
17752,360,1,80.64,1,1,1,111,Hibernating
14373,359,1,76.55,1,1,1,111,Hibernating
18176,359,1,476.35,1,1,2,112,Hibernating
13874,359,1,540.45,1,1,3,113,Hibernating
15789,359,1,351.30,1,2,2,122,Hibernating
15224,359,2,322.08,1,2,2,122,Hibernating
12967,359,2,1660.90,1,3,4,134,At Risk
17691,359,2,290.40,1,2,2,122,Hibernating
17496,359,1,271.05,1,2,2,122,Hibernating
15160,358,1,158.16,1,1,1,111,Hibernating
15204,358,1,316.58,1,2,2,122,Hibernating
12551,358,1,168.00,1,1,1,111,Hibernating
13033,358,1,190.55,1,1,1,111,Hibernating
17343,356,1,193.64,1,1,1,111,Hibernating
15279,355,1,290.51,1,2,2,122,Hibernating
15460,355,1,216.76,1,1,1,111,Hibernating
16270,354,1,1141.24,1,2,4,124,Hibernating
12515,354,1,383.70,1,2,2,122,Hibernating
12734,353,1,110.40,1,2,1,121,Hibernating
13922,352,1,172.25,1,1,1,111,Hibernating
13304,352,1,300.42,1,2,2,122,Hibernating
15562,352,1,134.55,1,1,1,111,Hibernating
16282,340,1,168.30,1,1,1,111,Hibernating
15464,339,1,1048.85,1,2,4,124,Hibernating
15266,339,1,119.30,1,2,1,121,Hibernating
12386,338,2,401.90,1,3,2,132,At Risk
13187,338,1,236.02,1,1,1,111,Hibernating
12489,337,1,334.93,1,2,2,122,Hibernating
15649,337,2,816.00,1,3,3,133,At Risk
14889,337,1,135.90,1,1,1,111,Hibernating
12829,337,2,293.00,1,2,2,122,Hibernating
15607,337,1,104.76,1,2,1,121,Hibernating
12501,337,1,2169.39,1,1,5,115,Hibernating
18032,335,1,73.50,1,1,1,111,Hibernating
17128,335,1,157.09,1,1,1,111,Hibernating
12651,335,1,114.00,1,2,1,121,Hibernating
12793,335,2,545.48,1,3,3,133,At Risk
16850,334,1,332.41,1,2,2,122,Hibernating
15100,334,3,876.00,1,3,3,133,At Risk
17406,334,3,2200.42,1,4,5,145,At Risk
15326,334,1,311.71,1,2,2,122,Hibernating
15346,333,1,252.42,1,2,2,122,Hibernating
17569,333,1,344.14,1,2,2,122,Hibernating
12736,333,1,234.00,1,1,1,111,Hibernating
13144,333,1,110.95,1,2,1,121,Hibernating
16351,333,1,153.90,1,1,1,111,Hibernating
14185,332,1,197.65,1,1,1,111,Hibernating
12652,332,1,919.98,1,2,3,123,Hibernating
15171,332,1,1289.50,1,2,4,124,Hibernating
14270,332,1,492.65,1,1,3,113,Hibernating
18085,331,2,689.95,1,3,3,133,At Risk
15447,331,1,155.17,1,1,1,111,Hibernating
16315,331,1,226.37,1,1,1,111,Hibernating
13284,331,1,201.19,1,1,1,111,Hibernating
15510,331,1,250.00,1,1,1,111,Hibernating
13385,330,1,534.57,1,1,3,113,Hibernating
18106,330,1,430.70,1,1,2,112,Hibernating
12672,330,1,225.90,1,1,1,111,Hibernating
12872,327,2,599.97,1,3,3,133,At Risk
13859,327,1,201.16,1,1,1,111,Hibernating
14238,327,1,146.85,1,1,1,111,Hibernating
15316,327,1,165.00,1,1,1,111,Hibernating
18212,327,1,248.42,1,1,1,111,Hibernating
13898,326,1,155.93,1,1,1,111,Hibernating
12346,326,1,77183.60,1,1,5,115,Hibernating
18233,326,1,440.00,1,1,2,112,Hibernating
15395,326,1,107.45,1,2,1,121,Hibernating
12665,325,1,63.00,1,1,1,111,Hibernating
14090,325,1,76.32,1,1,1,111,Hibernating
17862,324,1,330.90,1,2,2,122,Hibernating
12402,324,1,225.60,1,1,1,111,Hibernating
13008,324,1,229.47,1,1,1,111,Hibernating
15422,324,2,97.70,1,2,1,121,Hibernating
15262,324,1,178.95,1,1,1,111,Hibernating
17890,323,2,602.09,1,3,3,133,At Risk
16387,323,1,94.36,1,2,1,121,Hibernating
15174,323,1,135.75,1,1,1,111,Hibernating
17094,323,1,302.00,1,2,2,122,Hibernating
14068,321,1,265.85,1,2,2,122,Hibernating
15167,321,1,163.00,1,1,1,111,Hibernating
17714,321,1,153.00,1,1,1,111,Hibernating
14130,320,1,483.86,1,1,2,112,Hibernating
13551,320,1,91.80,1,2,1,121,Hibernating
14368,320,1,155.00,1,1,1,111,Hibernating
15052,320,1,215.78,1,1,1,111,Hibernating
14782,320,1,200.10,1,1,1,111,Hibernating
15820,320,1,206.98,1,1,1,111,Hibernating
14439,320,1,2661.24,1,1,5,115,Hibernating
16757,319,1,106.83,1,2,1,121,Hibernating
14248,319,1,302.58,1,2,2,122,Hibernating
16222,319,1,846.72,1,1,3,113,Hibernating
13002,319,1,120.95,1,2,1,121,Hibernating
15222,319,1,585.00,1,1,3,113,Hibernating
13703,319,1,99.50,1,2,1,121,Hibernating
13615,319,1,417.69,1,1,2,112,Hibernating
15213,319,2,328.35,1,2,2,122,Hibernating
12591,318,1,452.85,1,1,2,112,Hibernating
16124,318,1,249.00,1,1,1,111,Hibernating
17118,318,1,157.02,1,1,1,111,Hibernating
